5,512,131.3800
5,1024,131.2400
5,2048,129.3400
5,4096,124.8175
5,8192,136.3363
5,16384,124.1038
5,32768,234.6859
5,65536,246.6559
5,131072,238.6395
5,262144,248.3855
5,524288,248.6293
5,1048576,236.6268
5,2097152,244.3759
5,4194304,241.2485
5,8388608,430.3788
5,16777216,592.5268
5,33554432,593.2925
5,67108864,594.4893
5,134217728,600.0672
5,268435456,602.7345
5,536870912,610.3830
5,512,33.0700
5,1024,32.8675
5,2048,32.3550
5,4096,32.1713
5,8192,32.0900
5,16384,32.0489
5,32768,32.0220
5,65536,32.0108
5,131072,32.0055
5,262144,160.2513
5,524288,284.8139
5,1048576,284.2809
5,2097152,284.5267
5,4194304,284.6187
5,8388608,284.5460
5,16777216,284.5177
5,33554432,538.6234
5,67108864,699.5877
5,134217728,699.6762
5,268435456,699.7340
5,536870912,699.8213
